Ezek 17‐18; Ps 119:129‐136; Phil 3‐4    
Ezek 19‐20; Ps 119:137‐144; Col 1‐2    
Ezek 21‐22; Ps 119:145‐152; Col 3‐4    
Ezek 23; Ps 119:153‐160; 1 Thess 1‐2   
Ezek 24‐26; Ps 119:161‐168;1 Thess 3‐5    
Ezek 27‐28; Ps 119:169‐176;2 Thess 1    
Ezek 29‐31; Ps 120; 2 Thess 2‐3   
Ezek 32‐33; Ps 121; 1 Tim 1‐3   
Ezek 34‐35; Ps 122; 1 Tim 4‐6   
Ezek 36‐37; Ps 123; 2 Tim 1‐2   
Ezek 38‐39; Ps 124; 2 Tim 3‐4   
Ezek 40‐41; Ps 125; Titus 1‐3    
Ezek 42‐44; Ps 126; Phm
Ezek 45‐46; Ps 127; Heb 1‐3    
Ezek 47‐48; Ps 128; Heb 4‐6    
Dan 1; Ps 129; Heb 7‐8    
Dan 2‐3; Ps 130; Heb 9    
Dan 4‐5; Ps 131; Heb 10    
Dan 6‐7; Ps 132; Heb 11    
Dan 8‐9; Ps 133; Heb 12‐13    
Dan 10‐12; Ps 134; Jas 1‐2    
Hos 1; Ps 135; Jas 3‐5    
Hos 2‐5; Ps 136; 1 Pet 1‐2   
Hos 6‐9; Ps 137; 1 Pet 3‐5   
Hos 10‐14; Ps 138; 2 Pet 1‐3   
Joel 1‐3; Ps 139; 1 Jn 1‐2   
Amos 1‐5; Ps 140; 1 Jn 3‐5   
Amos 6‐9; Ps 141; 2 Jn; 3 Jn; Jude
Oba; Jonah 1‐4; Ps 142; Rev 1   
Mic 1‐3; Ps 143; Rev 2‐3 
Mic 4‐7; Ps 144; Rev 4‐6    
Nah 1‐3; Ps 145:1‐13; Rev 7‐9    
Hab 1‐3; Ps 145:14‐21; Rev 10‐12    
Zeph 1‐3; Hag 1‐2; Ps 146; Rev 13‐15  
Zech 1‐5; Ps 147; Rev 16‐17    
Zech 6‐9; Ps 148; Rev 18‐19    
Zech 10‐14; Ps 149; Rev 20‐21    
Mal 1‐4; Ps 150; Rev 22    
